task_id,primitive,separability,eta,generator,seed,prefix,dof,n_obs,coverage,S,ESS,E_struct,d_eff,V_f,V_f_norm,state,reliable
direction:low:spline:0,direction,low,0.2,spline,0,0.2,1,25,1,0.4733391733255176,3978.2666653222154,0.5,1.0,0.010209466011506579,0.028636032375683036,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.3,1,37,1,0.4213187074406659,3560.128599314093,0.5,1.0,0.010052756156514587,0.028196484560343665,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.4,1,49,1,0.36922572345889987,2745.9912326184194,0.5,1.0,0.009923040393460694,0.02783265115453564,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.5,1,61,1,0.32818971986403106,1721.3713354690406,0.49686396994377685,1.0,0.009876084671319773,0.02770094734378437,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.6,1,73,1,0.3033908882521223,854.3579220355182,0.4671765710212144,1.0,0.00990646839063958,0.027786169153539653,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.7,1,85,1,0.29223286755279276,343.94794921000056,0.40195837287812464,1.0,0.00992978447200219,0.02785156729091738,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.2,3,25,1,0.8061238985414084,3176.8706480785227,0.5,2.8195977334246702,0.027435426786425618,0.07695228808355971,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.3,3,37,1,0.851767310839528,2640.7727606093513,0.5,2.838173680863361,0.0280434916385814,0.07865781947699625,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.4,3,49,1,0.868745697619209,2018.472737443036,0.5,2.8681891010328013,0.028508351022967185,0.07996168085098079,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.5,3,61,1,0.8485215306070345,1366.0310172549546,0.49686396994377685,2.9068208326184353,0.02885080415678437,0.08092221091358061,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.6,3,73,1,0.7686100412227359,765.7531125509715,0.4671765710212144,2.947416445429629,0.02861554572776059,0.08026234604086498,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.7,3,85,1,0.6176387480697564,343.3262427069218,0.40195837287812464,2.9736835458086324,0.02697242845767194,0.0756536466935855,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.2,5,25,1,0.8427804120428712,2163.3351790290476,0.5,4.366082666450599,0.042297646859245044,0.1186386029897572,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.3,5,37,1,0.8747584413793618,1721.8850564807863,0.5,4.310249281649272,0.04050335214910316,0.1136058734274833,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.4,5,49,1,1.008971351299308,1269.6224141106022,0.5,4.24278666189132,0.03971788960198451,0.11140276790719204,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.5,5,61,1,1.174001313333715,892.7630210548099,0.49686396994377685,4.204021467428869,0.040004457899531505,0.1122065493231007,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.6,5,73,1,1.253269005038206,616.971852881072,0.4671765710212144,4.196457744466537,0.04100226126653195,0.11500523923399192,external-informative,1
direction:low:spline:0,direction,low,0.2,spline,0,0.7,5,85,1,1.2270890660956078,356.91617026366004,0.40195837287812464,4.189728803705953,0.03952707344858145,0.11086755700189153,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.2,1,25,1,1.3862943611198906,3836.872355663716,0.49651709394860005,1.0,0.010270465731228999,0.013700091140577375,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.3,1,37,1,1.3862943611198904,2989.4679017794465,0.49099644805964276,1.0,0.010233877026890603,0.013651284338892865,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.4,1,49,1,1.3862943611198906,1548.3302896257533,0.4897743418877197,1.0,0.010327169424072394,0.01377572994608935,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.5,1,61,1,1.3862943611198906,398.93680294571,0.4957949800226968,1.0,0.010779581133552546,0.01437921588481326,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.6,1,73,1,1.3862943611198906,56.57230543887758,0.5055589665402026,1.0,0.010980408609932645,0.014647105852214988,measurement-unreliable,0
direction:low:spline:1,direction,low,0.2,spline,1,0.7,1,85,1,1.3862943611198906,9.390937792650485,0.514733859205681,1.0,0.00865720253690769,0.011548109587419888,measurement-unreliable,0
direction:low:spline:1,direction,low,0.2,spline,1,0.2,3,25,1,1.3861519744061817,2246.5464910031756,0.49651709394860005,2.9265624067589955,0.028700254290543088,0.03828415476258407,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.3,3,37,1,1.3862273146747537,1204.4386681866404,0.49099644805964276,2.902412102966035,0.02905523566185121,0.03875767536694585,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.4,3,49,1,1.3862415426919543,602.6311928155588,0.4897743418877197,2.84669377346363,0.02956854613691729,0.0394423960481546,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.5,3,61,1,1.386215276614684,277.987461867175,0.4957949800226968,2.7608510100031363,0.030918955652813128,0.0412437489691445,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.6,3,73,1,1.3860533739703986,84.02682099980514,0.5055589665402026,2.6045288274144602,0.031142481507640315,0.04154191700392956,measurement-unreliable,0
direction:low:spline:1,direction,low,0.2,spline,1,0.7,3,85,1,1.3850171404656817,19.101157401427475,0.514733859205681,2.140539918995732,0.021806957609144834,0.029088973622254734,measurement-unreliable,0
direction:low:spline:1,direction,low,0.2,spline,1,0.2,5,25,1,1.2786992779853967,1608.6926752078932,0.49651709394860005,4.566682527148027,0.04927110097450797,0.06572424188075987,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.3,5,37,1,1.3213153714143,552.0179232301899,0.49099644805964276,4.527031480850375,0.046137018139836526,0.06154359208349114,external-informative,1
direction:low:spline:1,direction,low,0.2,spline,1,0.4,5,49,1,1.379960248513339,96.06455649552382,0.4897743418877197,4.45298779722339,0.0453953858325011,0.06055430586520431,measurement-unreliable,0
direction:low:spline:1,direction,low,0.2,spline,1,0.5,5,61,1,1.3861976122327169,16.62015850956453,0.4957949800226968,4.1712287700558335,0.045059387249382264,0.060106106987734116,measurement-unreliable,0
direction:low:spline:1,direction,low,0.2,spline,1,0.6,5,73,1,1.386289888795486,25.246528796291077,0.5055589665402026,3.6690835377344455,0.038229394021500905,0.05099536827731891,measurement-unreliable,0
direction:low:spline:1,direction,low,0.2,spline,1,0.7,5,85,1,1.3862901550345674,9.950603515855757,0.514733859205681,3.2591139591269265,0.038852690243352146,0.051826802339843915,measurement-unreliable,0
direction:low:spline:2,direction,low,0.2,spline,2,0.2,1,25,1,1.3862943611198906,3730.8681753730466,0.5185767396796934,1.0,0.009686808724215635,0.025820994735490613,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.3,1,37,1,1.3862943611198904,2645.9565100222203,0.5450692310609618,1.0,0.009306252538064708,0.024806590553585275,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.4,1,49,1,1.3862943611198906,1227.1153148599976,0.5810391347465557,1.0,0.008668147784152742,0.0231056692325868,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.5,1,61,1,1.3862943611198906,396.5701252696974,0.6229180668806503,1.0,0.007312692979750097,0.019492591658216697,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.6,1,73,1,1.3862943611198906,122.00891871914196,0.6661082175163546,1.0,0.005189190898711598,0.013832220155450369,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.7,1,85,1,1.3862943611198906,43.95349334098259,0.71107415670085,1.0,0.003165859701773284,0.008438862479903978,measurement-unreliable,0
direction:low:spline:2,direction,low,0.2,spline,2,0.2,3,25,1,1.361824290265146,2272.7869502754156,0.5185767396796934,2.8318569731720578,0.02718231550873725,0.07245672394613964,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.3,3,37,1,1.3696528524229448,1201.997224508234,0.5450692310609618,2.8575880535934224,0.027187108843705926,0.0724695009793727,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.4,3,49,1,1.3691765543075527,451.8205889541861,0.5810391347465557,2.9035849494588257,0.02648322248670493,0.07059323332136978,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.5,3,61,1,1.3570640042682396,159.06097582472177,0.6229180668806503,2.89006241302103,0.025379457857975688,0.06765105685448117,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.6,3,73,1,1.2956972538661569,70.53898838930766,0.6661082175163546,2.7081526721758955,0.026095079300093194,0.06955860535838915,measurement-unreliable,0
direction:low:spline:2,direction,low,0.2,spline,2,0.7,3,85,1,0.9897112208155966,21.743458648557173,0.71107415670085,2.388474505051362,0.02892331375863668,0.07709749965721281,measurement-unreliable,0
direction:low:spline:2,direction,low,0.2,spline,2,0.2,5,25,1,1.1324348978646843,1598.4265143765576,0.5185767396796934,4.343771987265494,0.04757143397147443,0.1268056158749684,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.3,5,37,1,1.2228133803677455,733.1453678932013,0.5450692310609618,4.3078601500841325,0.04603558719352944,0.12271168848392776,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.4,5,49,1,1.3555976586190237,249.47830083315247,0.5810391347465557,4.164901022075842,0.04529603964210213,0.12074036294465985,external-informative,1
direction:low:spline:2,direction,low,0.2,spline,2,0.5,5,61,1,1.384481657365323,88.48942818123153,0.6229180668806503,3.9145494377710133,0.04490804637019935,0.119706134591811,measurement-unreliable,0
direction:low:spline:2,direction,low,0.2,spline,2,0.6,5,73,1,1.3858406055026953,38.25674756813341,0.6661082175163546,3.5899237697575233,0.04206813950408453,0.11213612651929461,measurement-unreliable,0
