engine,support_fraction,noise_ratio,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,n,factorial,target,exposure,effect_strength,ood_distance,action
neural,0.35,0.001,0.23333333333333334,0.19517857142857145,0.27380952380952384,0.012427788922685586,0.008766745788050888,0.015779989324022543,0.7523809523809524,0.12142857142857143,420,support_noise,engine_conditioned,,,,
neural,0.35,0.01,0.2857142857142857,0.24285714285714285,0.32857142857142857,0.010730695724912618,0.007000777025696719,0.014390973886575443,0.6880952380952381,0.14047619047619048,420,support_noise,engine_conditioned,,,,
neural,0.35,0.05,0.27380952380952384,0.23333333333333334,0.31666666666666665,0.011206863272561752,0.007524021237639025,0.01462179012677341,0.7,0.1380952380952381,420,support_noise,engine_conditioned,,,,
neural,0.525,0.001,0.4357142857142857,0.3880952380952381,0.48333333333333334,-0.026768678499512037,-0.038919428455346426,-0.015008114573740012,0.5571428571428572,0.26666666666666666,420,support_noise,engine_conditioned,,,,
neural,0.525,0.01,0.4357142857142857,0.3904761904761905,0.48095238095238096,-0.032445177406325444,-0.04604101573376856,-0.019981228474748335,0.5428571428571428,0.2642857142857143,420,support_noise,engine_conditioned,,,,
neural,0.525,0.05,0.42857142857142855,0.38095238095238093,0.47619047619047616,-0.038063792924732505,-0.05215295463314634,-0.024524110199899418,0.5595238095238095,0.28809523809523807,420,support_noise,engine_conditioned,,,,
neural,0.7,0.001,0.48095238095238096,0.4357142857142857,0.5285714285714286,-0.10868364338793836,-0.13449437320567817,-0.08453568165323085,0.5047619047619047,0.3,420,support_noise,engine_conditioned,,,,
neural,0.7,0.01,0.47619047619047616,0.430952380952381,0.5238095238095238,-0.11257186448879455,-0.13975989700558225,-0.08653256849727001,0.5071428571428571,0.2976190476190476,420,support_noise,engine_conditioned,,,,
neural,0.7,0.05,0.47619047619047616,0.42857142857142855,0.5214285714285715,-0.12245739262955181,-0.1500988360071689,-0.09574516970985547,0.4928571428571429,0.319047619047619,420,support_noise,engine_conditioned,,,,
spline,0.35,0.001,0.6761904761904762,0.6333333333333333,0.7214285714285714,-0.008203616654924062,-0.011160331005987633,-0.00554956669372798,0.2785714285714286,0.4166666666666667,420,support_noise,engine_conditioned,,,,
spline,0.35,0.01,0.5761904761904761,0.5285714285714286,0.6238095238095238,-0.006179701385274093,-0.009290094265471395,-0.003406392944642052,0.3904761904761905,0.28095238095238095,420,support_noise,engine_conditioned,,,,
spline,0.35,0.05,0.44047619047619047,0.39285714285714285,0.4880952380952381,0.0033479528940408166,-0.000676400007268013,0.007618554715024424,0.5047619047619047,0.1357142857142857,420,support_noise,engine_conditioned,,,,
spline,0.525,0.001,0.7119047619047619,0.669047619047619,0.7547619047619047,-0.0535674088479798,-0.06493990012422245,-0.042353735382143834,0.24285714285714285,0.44047619047619047,420,support_noise,engine_conditioned,,,,
spline,0.525,0.01,0.6523809523809524,0.6070833333333333,0.6976190476190476,-0.051815136717019566,-0.0640370988837542,-0.04033018740654079,0.31666666666666665,0.38095238095238093,420,support_noise,engine_conditioned,,,,
spline,0.525,0.05,0.569047619047619,0.5214285714285715,0.6167261904761896,-0.025604148750418738,-0.041136658642106735,-0.01045817687972291,0.3904761904761905,0.2571428571428571,420,support_noise,engine_conditioned,,,,
spline,0.7,0.001,0.7214285714285714,0.6785714285714286,0.7642857142857142,-0.13769627688225183,-0.16158457010447544,-0.1147897127785012,0.2357142857142857,0.44047619047619047,420,support_noise,engine_conditioned,,,,
spline,0.7,0.01,0.6904761904761905,0.6476190476190476,0.7333333333333333,-0.12787230062579924,-0.15259690583366142,-0.10293923598508245,0.27380952380952384,0.4261904761904762,420,support_noise,engine_conditioned,,,,
spline,0.7,0.05,0.6071428571428571,0.5619047619047619,0.6547619047619048,-0.0621236791486715,-0.09408850529826901,-0.03006102717295934,0.35,0.3476190476190476,420,support_noise,engine_conditioned,,,,
,0.35,0.001,0.7047619047619048,0.6619047619047619,0.7476190476190476,0.002112086133880762,-0.0010657675052358055,0.0050154144895456386,0.24523809523809523,0.41904761904761906,420,support_noise,robust_any_engine_harm,,,,
,0.35,0.01,0.6357142857142857,0.5904761904761905,0.680952380952381,0.0022754971698192624,-0.00110473233007141,0.005308038371537966,0.3238095238095238,0.30714285714285716,420,support_noise,robust_any_engine_harm,,,,
,0.35,0.05,0.5595238095238095,0.5095238095238095,0.6071428571428571,0.007277408083301284,0.0035681998368908884,0.010911579893943356,0.37857142857142856,0.18095238095238095,420,support_noise,robust_any_engine_harm,,,,
,0.525,0.001,0.7476190476190476,0.7047619047619048,0.7880952380952381,-0.04016804367374591,-0.05222343235716371,-0.028801745437019393,0.20238095238095238,0.44285714285714284,420,support_noise,robust_any_engine_harm,,,,
,0.525,0.01,0.7,0.6547619047619048,0.7428571428571429,-0.0421301570616725,-0.05442447477553963,-0.03003209693818024,0.25476190476190474,0.3976190476190476,420,support_noise,robust_any_engine_harm,,,,
,0.525,0.05,0.6833333333333333,0.638095238095238,0.7285714285714285,-0.03183397083757561,-0.04609889670858412,-0.018300784935425946,0.2785714285714286,0.3595238095238095,420,support_noise,robust_any_engine_harm,,,,
,0.7,0.001,0.7952380952380952,0.7571428571428571,0.8333333333333334,-0.12318996013509512,-0.14876827117163585,-0.0999638862433468,0.1619047619047619,0.44047619047619047,420,support_noise,robust_any_engine_harm,,,,
,0.7,0.01,0.7571428571428571,0.7142857142857143,0.7976190476190477,-0.12022208255729691,-0.14618616809830354,-0.09547823938827385,0.19523809523809524,0.4261904761904762,420,support_noise,robust_any_engine_harm,,,,
,0.7,0.05,0.7,0.6547619047619048,0.7428571428571429,-0.09229053588911167,-0.12148672892735694,-0.06427398733960762,0.2523809523809524,0.39285714285714285,420,support_noise,robust_any_engine_harm,,,,
neural,,,0.1357142857142857,0.10476190476190476,0.16904761904761906,0.02113741304037884,0.016818485038889667,0.025366050675562447,0.8595238095238096,0.02142857142857143,420,exposure_effect,engine_conditioned,0.1,0.15,,
neural,,,0.3880952380952381,0.34285714285714286,0.4357142857142857,-0.015404446091364403,-0.025941025407463854,-0.005464121871640309,0.5880952380952381,0.18571428571428572,420,exposure_effect,engine_conditioned,0.1,0.45,,
neural,,,0.46190476190476193,0.4142857142857143,0.5095238095238095,-0.0830539187678777,-0.10558363150591665,-0.06315642403932285,0.5238095238095238,0.4166666666666667,420,exposure_effect,engine_conditioned,0.1,0.85,,
neural,,,0.1357142857142857,0.10238095238095238,0.16904761904761906,0.019921008660599013,0.01563678432427334,0.02396909118612249,0.8571428571428571,0.002380952380952381,420,exposure_effect,engine_conditioned,0.45,0.15,,
neural,,,0.40476190476190477,0.35714285714285715,0.4523809523809524,-0.015891333479320705,-0.026276942059881746,-0.006017283010447994,0.5714285714285714,0.1761904761904762,420,exposure_effect,engine_conditioned,0.45,0.45,,
neural,,,0.4738095238095238,0.4261904761904762,0.5214285714285715,-0.07666833179473888,-0.09737742698271,-0.05690177212482006,0.5071428571428571,0.4,420,exposure_effect,engine_conditioned,0.45,0.85,,
neural,,,0.12857142857142856,0.09761904761904762,0.1619047619047619,0.020651879907007942,0.016308476154349636,0.024760383578161668,0.861904761904762,0.007142857142857143,420,exposure_effect,engine_conditioned,0.8,0.15,,
neural,,,0.4238095238095238,0.37857142857142856,0.4714285714285714,-0.017085982222238172,-0.02751014360796879,-0.007081308153012247,0.5642857142857143,0.22142857142857142,420,exposure_effect,engine_conditioned,0.8,0.45,,
neural,,,0.4666666666666667,0.41904761904761906,0.5142857142857142,-0.07499848668621875,-0.09581142395019515,-0.05495920962582881,0.5190476190476191,0.40476190476190477,420,exposure_effect,engine_conditioned,0.8,0.85,,
spline,,,0.5238095238095238,0.47619047619047616,0.5714285714285714,-0.005156272605605521,-0.008312370938130266,-0.0020342469119769154,0.4380952380952381,0.1976190476190476,420,exposure_effect,engine_conditioned,0.1,0.15,,
spline,,,0.6142857142857143,0.5666666666666667,0.6619047619047619,-0.03275118312298255,-0.04195520927081499,-0.024253583806774923,0.3547619047619048,0.3333333333333333,420,exposure_effect,engine_conditioned,0.1,0.45,,
spline,,,0.6619047619047619,0.6166666666666667,0.7071428571428572,-0.09316572654878648,-0.11306623691851692,-0.0745505126353561,0.3047619047619048,0.4238095238095238,420,exposure_effect,engine_conditioned,0.1,0.85,,
spline,,,0.5476190476190477,0.4976190476190476,0.5928571428571429,-0.005232091870404211,-0.00846629558714079,-0.0020270739509339335,0.43333333333333335,0.19047619047619047,420,exposure_effect,engine_conditioned,0.45,0.15,,
spline,,,0.6357142857142857,0.5904761904761905,0.680952380952381,-0.03622690567862763,-0.04568052384295277,-0.027667583857831968,0.3261904761904762,0.3476190476190476,420,exposure_effect,engine_conditioned,0.45,0.45,,
spline,,,0.65,0.6047619047619047,0.6976190476190476,-0.08457193070059639,-0.1041378569955092,-0.06724074641871369,0.319047619047619,0.40714285714285714,420,exposure_effect,engine_conditioned,0.45,0.85,,
spline,,,0.5380952380952381,0.4927976190476191,0.5857142857142857,-0.0039994295206641755,-0.0067584211502233205,-0.0012410413394153606,0.4166666666666667,0.17857142857142858,420,exposure_effect,engine_conditioned,0.8,0.15,,
spline,,,0.6357142857142857,0.5904761904761905,0.680952380952381,-0.037460109967558185,-0.04720886247985939,-0.028433788155241422,0.33095238095238094,0.3619047619047619,420,exposure_effect,engine_conditioned,0.8,0.45,,
spline,,,0.6595238095238095,0.6142261904761905,0.7047619047619048,-0.08718423393468203,-0.10703233178057082,-0.06892166920830041,0.30952380952380953,0.40714285714285714,420,exposure_effect,engine_conditioned,0.8,0.85,,
,,,0.6023809523809524,0.5547619047619048,0.6476190476190476,0.007990570217386658,0.004894816776230088,0.01095451692000645,0.3547619047619048,0.20238095238095238,420,exposure_effect,robust_any_engine_harm,0.1,0.15,,
,,,0.6928571428571428,0.6476190476190476,0.7357142857142858,-0.024077814607173478,-0.033533853123933526,-0.01505436845278555,0.2571428571428571,0.3595238095238095,420,exposure_effect,robust_any_engine_harm,0.1,0.45,,
,,,0.6976190476190476,0.6523809523809524,0.7404761904761905,-0.08810982265833206,-0.10862334250310388,-0.06858411940415492,0.2619047619047619,0.430952380952381,420,exposure_effect,robust_any_engine_harm,0.1,0.85,,
,,,0.6142857142857143,0.5666666666666667,0.6595238095238095,0.007344458395097402,0.004225903634218174,0.010294806097452721,0.36428571428571427,0.19047619047619047,420,exposure_effect,robust_any_engine_harm,0.45,0.15,,
,,,0.7023809523809523,0.6571428571428571,0.7452380952380953,-0.026059119578974166,-0.03563943013846984,-0.016799165448683137,0.24761904761904763,0.37142857142857144,420,exposure_effect,robust_any_engine_harm,0.45,0.45,,
,,,0.7095238095238096,0.6666666666666666,0.7523809523809524,-0.0806201312476676,-0.10051834305143999,-0.06220906573908153,0.24047619047619048,0.4238095238095238,420,exposure_effect,robust_any_engine_harm,0.45,0.85,,
,,,0.6142857142857143,0.5666666666666667,0.6595238095238095,0.008326225193171884,0.005563659964447189,0.010940358663857654,0.3404761904761905,0.18095238095238095,420,exposure_effect,robust_any_engine_harm,0.8,0.15,,
,,,0.6952380952380952,0.65,0.7404761904761905,-0.027273046094898182,-0.03738070479405173,-0.01809641789290409,0.26666666666666666,0.3904761904761905,420,exposure_effect,robust_any_engine_harm,0.8,0.45,,
,,,0.7095238095238096,0.6642857142857143,0.7523809523809524,-0.08109136031045037,-0.10160910901474988,-0.0617063001791001,0.25,0.4238095238095238,420,exposure_effect,robust_any_engine_harm,0.8,0.85,,
neural,,,0.28095238095238095,0.23809523809523808,0.3238095238095238,-0.00020237513501720258,-0.003164542753561512,0.0025162194234473333,0.6761904761904762,0.17142857142857143,420,distance_specificity,engine_conditioned,,,0.1,biased-specific
