prefix_exposure,n_tasks,mean_C_inv,ci_2_5,ci_97_5,bootstrap_replicates,bootstrap_unit,source_rows_sha256
low,125,-0.10082781621971035,-0.16340889931360675,-0.037830971225135096,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
medium,125,-0.0728139011003327,-0.09930543260269731,-0.04755592554487351,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
high,125,-0.00010667409533281058,-0.007417211630039986,0.007013726751497669,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
