prefix_exposure,n_tasks,mean_C2,ci_2_5,ci_97_5,bootstrap_replicates,bootstrap_unit,source_rows_sha256
low,125,0.012969653275170783,0.009030303627532578,0.017008258543071208,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
medium,125,0.0013372413036501225,-0.002535157955053767,0.005310988268430178,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
high,125,-0.008514921339500237,-0.012558708542617572,-0.004608903570290433,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
