task_id,proposal_index,prefix_exposure,policy,nrmse
7,7,high,evidence_weighted_residual_mixture,0.03431156126839599
7,7,high,free_baseline,0.09542837041896374
7,7,low,closed_mechanism,0.23656121514824605
7,7,low,invariant_residual_MAP,0.24627009143268402
7,7,low,invariant_residual_ensemble,0.2327966447372658
7,7,low,evidence_weighted_residual_mixture,0.2425297061868719
7,7,low,free_baseline,0.6334330946576707
7,7,medium,closed_mechanism,0.23656121514824605
7,7,medium,invariant_residual_MAP,0.11447317145425907
7,7,medium,invariant_residual_ensemble,0.05999574141499656
7,7,medium,evidence_weighted_residual_mixture,0.06745301702854714
7,7,medium,free_baseline,0.547318348745843
8,8,high,closed_mechanism,0.18923081144249823
8,8,high,invariant_residual_MAP,0.04609170902165897
8,8,high,invariant_residual_ensemble,0.0599083891331213
8,8,high,evidence_weighted_residual_mixture,0.06010554751248441
8,8,high,free_baseline,0.010027324305187343
8,8,low,closed_mechanism,0.18923081144249823
8,8,low,invariant_residual_MAP,0.7946811838787542
8,8,low,invariant_residual_ensemble,0.6908190315359731
8,8,low,evidence_weighted_residual_mixture,0.7132237127391244
8,8,low,free_baseline,0.027355548594705948
8,8,medium,closed_mechanism,0.18923081144249823
8,8,medium,invariant_residual_MAP,0.07717186759288246
8,8,medium,invariant_residual_ensemble,0.1667243234722493
8,8,medium,evidence_weighted_residual_mixture,0.16393554463846666
8,8,medium,free_baseline,0.1881140400379192
9,9,high,closed_mechanism,0.4161603419789945
9,9,high,invariant_residual_MAP,0.07113441611854042
9,9,high,invariant_residual_ensemble,0.031649467002557434
9,9,high,evidence_weighted_residual_mixture,0.034125069864996194
9,9,high,free_baseline,0.07946294850777094
9,9,low,closed_mechanism,0.4161603419789945
9,9,low,invariant_residual_MAP,0.2613092744211851
9,9,low,invariant_residual_ensemble,0.09227504066106569
9,9,low,evidence_weighted_residual_mixture,0.12063316844493922
9,9,low,free_baseline,0.11922914078596289
9,9,medium,closed_mechanism,0.4161603419789945
9,9,medium,invariant_residual_MAP,0.032331475819919506
9,9,medium,invariant_residual_ensemble,0.032301556523640175
9,9,medium,evidence_weighted_residual_mixture,0.06850770807472685
9,9,medium,free_baseline,0.1837794753433791
10,10,high,closed_mechanism,0.21505493060908015
10,10,high,invariant_residual_MAP,0.1634291356361431
