prefix_exposure,n_tasks,mean_C_closed,ci_2_5,ci_97_5,bootstrap_replicates,bootstrap_unit,source_rows_sha256
low,125,0.06381159895950037,0.012063335422422512,0.11563319232511757,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
medium,125,0.2546247917388799,0.22764507165864997,0.2809893462570041,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
high,125,0.2913894165093874,0.27044591724761463,0.31225888320523043,5000,latent_task_id,943923b9f0131a04001b340fcee942a4276270dfaad9cd873b9d6abc295349fd
