task_id,field,generator,draw,baseline_specification_state,epsilon,sign,coverage,violation,S,S_baseline,delta_S_spec,delta_S_status,ESS,baseline_floor_hit,perturbed_floor_hit,sat_count,confidently_wrong,semantic_type,has_regime_invariant,has_asymptotic_mechanism_invariant,from_above_invariant
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.05,-1,0,0.045000000000000054,1.319084553648141,1.30068319085171,0.01840136279643101,exact,3944.841674913842,0,0,133,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.05,1,0,0.005000000000000022,1.299244771285846,1.30068319085171,-0.001438419565864102,exact,3944.841674913842,0,0,174,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.1,-1,0,0.0950000000000001,1.2973300914074075,1.30068319085171,-0.0033530994443025097,exact,3944.841674913842,0,0,178,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.1,1,0,0.05500000000000006,1.2920835464927556,1.30068319085171,-0.008599644358954439,exact,3944.841674913842,0,0,189,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.2,-1,0,0.19500000000000003,1.305010905677556,1.30068319085171,0.004327714825846041,exact,3944.841674913842,0,0,162,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.2,1,0,0.15500000000000014,1.303085164260693,1.30068319085171,0.0024019734089830713,exact,3944.841674913842,0,0,166,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.3,-1,0,0.295,1.2963741244653304,1.30068319085171,-0.004309066386379623,exact,3944.841674913842,0,0,180,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,0.3,1,0,0.25499999999999995,1.3045291225417661,1.30068319085171,0.0038459316900560925,exact,3944.841674913842,0,0,163,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.0,0,1,0.0,1.3030708982340606,1.3030708982340606,0.0,exact,3919.590009604463,0,0,165,0,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.025,-1,1,0.0,1.3069501458435018,1.3030708982340606,0.0038792476094411388,exact,3919.590009604463,0,0,157,0,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.025,1,0,0.020000000000000035,1.3021034331172656,1.3030708982340606,-0.0009674651167950188,exact,3919.590009604463,0,0,167,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.05,-1,0,0.005000000000000022,1.312308802573414,1.3030708982340606,0.009237904339353342,exact,3919.590009604463,0,0,146,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.05,1,0,0.045000000000000054,1.2963182161624187,1.3030708982340606,-0.0067526820716419245,exact,3919.590009604463,0,0,179,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.1,-1,0,0.05500000000000006,1.2934381102464476,1.3030708982340606,-0.009632787987613023,exact,3919.590009604463,0,0,185,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.1,1,0,0.0950000000000001,1.3021034331172656,1.3030708982340606,-0.0009674651167950188,exact,3919.590009604463,0,0,167,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.2,-1,0,0.15500000000000014,1.303554982014775,1.3030708982340606,0.00048408378071429503,exact,3919.590009604463,0,0,164,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.2,1,0,0.19500000000000017,1.303554982014775,1.3030708982340606,0.00048408378071429503,exact,3919.590009604463,0,0,164,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.3,-1,0,0.25499999999999995,1.3006539881603545,1.3030708982340606,-0.0024169100737061466,exact,3919.590009604463,0,0,170,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,0.3,1,0,0.295,1.3098694892046967,1.3030708982340606,0.006798590970636065,exact,3919.590009604463,0,0,151,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.0,0,1,0.0,1.3069501458435018,1.3069501458435018,0.0,exact,3919.590009604463,0,0,157,0,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.025,-1,1,1.734723475976807e-17,1.319170706236572,1.3069501458435018,0.01222056039307029,exact,3919.590009604463,0,0,132,0,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.025,1,1,1.734723475976807e-17,1.3006539881603545,1.3069501458435018,-0.006296157683147285,exact,3919.590009604463,0,0,170,0,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.05,-1,0,0.02500000000000004,1.3040393002460946,1.3069501458435018,-0.0029108455974071745,exact,3919.590009604463,0,0,163,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.05,1,0,0.02500000000000004,1.3001713063303384,1.3069501458435018,-0.006778839513163382,exact,3919.590009604463,0,0,171,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.1,-1,0,0.07500000000000008,1.2972800977574428,1.3069501458435018,-0.00967004808605898,exact,3919.590009604463,0,0,177,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.1,1,0,0.07500000000000008,1.2939175522253565,1.3069501458435018,-0.013032593618145238,exact,3919.590009604463,0,0,184,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.2,-1,0,0.17500000000000016,1.303554982014775,1.3069501458435018,-0.0033951638287268437,exact,3919.590009604463,0,0,164,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.2,1,0,0.17500000000000016,1.3088954274922853,1.3069501458435018,0.0019452816487834923,exact,3919.590009604463,0,0,153,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.3,-1,0,0.27499999999999997,1.3064644161256072,1.3069501458435018,-0.00048572971789462294,exact,3919.590009604463,0,0,158,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,0.3,1,0,0.27499999999999997,1.3064644161256072,1.3069501458435018,-0.00048572971789462294,exact,3919.590009604463,0,0,158,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.0,0,1,0.0,1.3142645465257703,1.3142645465257703,0.0,exact,3919.590009604463,0,0,142,0,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.025,-1,0,0.020000000000000035,1.30840875220377,1.3142645465257703,-0.0058557943220003406,exact,3919.590009604463,0,0,154,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.025,1,1,0.0,1.303554982014775,1.3142645465257703,-0.010709564510995362,exact,3919.590009604463,0,0,164,0,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.05,-1,0,0.045000000000000054,1.2963182161624187,1.3142645465257703,-0.01794633036335158,exact,3919.590009604463,0,0,179,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.05,1,0,0.005000000000000022,1.3030708982340606,1.3142645465257703,-0.011193648291709657,exact,3919.590009604463,0,0,165,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.1,-1,0,0.0950000000000001,1.2920011619564193,1.3142645465257703,-0.022263384569350952,exact,3919.590009604463,0,0,188,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.1,1,0,0.05500000000000006,1.295837622098643,1.3142645465257703,-0.018426924427127345,exact,3919.590009604463,0,0,180,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.2,-1,0,0.19500000000000017,1.295837622098643,1.3142645465257703,-0.018426924427127345,exact,3919.590009604463,0,0,180,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.2,1,0,0.15500000000000014,1.3064644161256072,1.3142645465257703,-0.007800130400163141,exact,3919.590009604463,0,0,158,1,mechanistic,1,1,1
