task_id,prefix_exposure,policy,e_kappa,e_lambda,nrmse_clean_far
0,L,joint_uniform,0.0009449703775303853,5.045662110347848e-09,0.3380951310615819
0,L,kappa_selective,0.0009449703775303853,5.045662110347848e-09,0.34789358964648737
0,L,factorized_joint_weighted,0.0009449703775303853,5.045662110347848e-09,0.3479221957678327
0,L,joint_MAP,0.0009449703775303853,5.045662110347848e-09,0.7011359648687593
0,S,joint_uniform,0.3306874195101438,9.224545355568381e-06,0.3380951310615819
0,S,kappa_selective,0.3306874195101438,9.224545355568381e-06,0.23922585058330734
0,S,factorized_joint_weighted,0.3306874195101438,9.224545355568381e-06,0.23851445711665356
0,S,joint_MAP,0.3306874195101438,9.224545355568381e-06,0.14786769713920367
0,J,joint_uniform,0.5289003161936157,0.30160489707657445,0.3380951310615819
0,J,kappa_selective,0.5289003161936157,0.30160489707657445,0.1970018086544778
0,J,factorized_joint_weighted,0.5289003161936157,0.30160489707657445,0.002701939470125295
0,J,joint_MAP,0.5289003161936157,0.30160489707657445,0.06858532406711158
1,L,joint_uniform,0.0016029401708989033,6.063539459422174e-08,0.3506782554896772
1,L,kappa_selective,0.0016029401708989033,6.063539459422174e-08,0.33437760746035494
1,L,factorized_joint_weighted,0.0016029401708989033,6.063539459422174e-08,0.3342788054934942
1,L,joint_MAP,0.0016029401708989033,6.063539459422174e-08,0.060426340852128724
1,S,joint_uniform,0.3631012268901296,0.0014673268638883963,0.3506782554896772
1,S,kappa_selective,0.3631012268901296,0.0014673268638883963,0.11907065441660157
1,S,factorized_joint_weighted,0.3631012268901296,0.0014673268638883963,0.10367750173137552
1,S,joint_MAP,0.3631012268901296,0.0014673268638883963,0.14320473028427222
1,J,joint_uniform,0.4307735939083024,0.07761067706355396,0.3506782554896772
1,J,kappa_selective,0.4307735939083024,0.07761067706355396,0.1279641466503129
1,J,factorized_joint_weighted,0.4307735939083024,0.07761067706355396,0.04357503892324704
1,J,joint_MAP,0.4307735939083024,0.07761067706355396,0.03022959687361245
2,L,joint_uniform,0.0007491900085027092,2.1795169002913894e-09,0.10106472567051741
2,L,kappa_selective,0.0007491900085027092,2.1795169002913894e-09,0.10729066687104388
2,L,factorized_joint_weighted,0.0007491900085027092,2.1795169002913894e-09,0.10727230347130767
2,L,joint_MAP,0.0007491900085027092,2.1795169002913894e-09,0.13768536134172035
2,S,joint_uniform,0.3357151472543225,0.001380744328319028,0.10106472567051741
2,S,kappa_selective,0.3357151472543225,0.001380744328319028,0.2722998620859382
2,S,factorized_joint_weighted,0.3357151472543225,0.001380744328319028,0.25733723678062875
2,S,joint_MAP,0.3357151472543225,0.001380744328319028,0.037078509517166396
2,J,joint_uniform,0.4874269437957428,0.20275734793487055,0.10106472567051741
2,J,kappa_selective,0.4874269437957428,0.20275734793487055,0.23004682534366172
2,J,factorized_joint_weighted,0.4874269437957428,0.20275734793487055,0.06459741925702557
2,J,joint_MAP,0.4874269437957428,0.20275734793487055,0.009345488107154657
3,L,joint_uniform,0.02464072770312198,1.104932778606127e-08,0.276562915881907
3,L,kappa_selective,0.02464072770312198,1.104932778606127e-08,0.19877600743565565
3,L,factorized_joint_weighted,0.02464072770312198,1.104932778606127e-08,0.19873358771852845
3,L,joint_MAP,0.02464072770312198,1.104932778606127e-08,0.2134452283263753
3,S,joint_uniform,0.33358771381643515,0.0026936089684101994,0.276562915881907
3,S,kappa_selective,0.33358771381643515,0.0026936089684101994,0.11526152936473369
3,S,factorized_joint_weighted,0.33358771381643515,0.0026936089684101994,0.09437270947176679
3,S,joint_MAP,0.33358771381643515,0.0026936089684101994,0.13003118006236938
3,J,joint_uniform,0.4385061121097801,0.10263528754351658,0.276562915881907
3,J,kappa_selective,0.4385061121097801,0.10263528754351658,0.1173635887143885
3,J,factorized_joint_weighted,0.4385061121097801,0.10263528754351658,0.009942709365983399
3,J,joint_MAP,0.4385061121097801,0.10263528754351658,0.026113185426723612
4,L,joint_uniform,0.0911332070848706,3.25298921799444e-07,0.4288032495789318
4,L,kappa_selective,0.0911332070848706,3.25298921799444e-07,0.2806770267126228
4,L,factorized_joint_weighted,0.0911332070848706,3.25298921799444e-07,0.2804469742342577
4,L,joint_MAP,0.0911332070848706,3.25298921799444e-07,0.19411506109307008
4,S,joint_uniform,0.3345059800126593,3.8962892854099707e-05,0.4288032495789318
4,S,kappa_selective,0.3345059800126593,3.8962892854099707e-05,0.2592490554932904
4,S,factorized_joint_weighted,0.3345059800126593,3.8962892854099707e-05,0.26153344082176544
4,S,joint_MAP,0.3345059800126593,3.8962892854099707e-05,0.32485981814528253
4,J,joint_uniform,0.4911575937309475,0.2082230155356385,0.4288032495789318
4,J,kappa_selective,0.4911575937309475,0.2082230155356385,0.22669931251303022
4,J,factorized_joint_weighted,0.4911575937309475,0.2082230155356385,0.05937840056345485
4,J,joint_MAP,0.4911575937309475,0.2082230155356385,0.016904197746031177
5,L,joint_uniform,0.13363124103511925,7.682365658068235e-07,0.15409910859875853
5,L,kappa_selective,0.13363124103511925,7.682365658068235e-07,0.0450152578948528
5,L,factorized_joint_weighted,0.13363124103511925,7.682365658068235e-07,0.04528156158939352
5,L,joint_MAP,0.13363124103511925,7.682365658068235e-07,0.4783953003846502
5,S,joint_uniform,0.41299967789702186,0.017903845133794172,0.15409910859875853
5,S,kappa_selective,0.41299967789702186,0.017903845133794172,0.12253862184095864
5,S,factorized_joint_weighted,0.41299967789702186,0.017903845133794172,0.06943354928142137
5,S,joint_MAP,0.41299967789702186,0.017903845133794172,0.11893063324832834
5,J,joint_uniform,0.5999110797634145,0.12138638762189191,0.15409910859875853
5,J,kappa_selective,0.5999110797634145,0.12138638762189191,0.17009303351976868
5,J,factorized_joint_weighted,0.5999110797634145,0.12138638762189191,0.09843050182607513
5,J,joint_MAP,0.5999110797634145,0.12138638762189191,0.06271845737313761
6,L,joint_uniform,0.04901439018511278,6.120508289075843e-08,0.1539514738581464
6,L,kappa_selective,0.04901439018511278,6.120508289075843e-08,0.04570518678007159
6,L,factorized_joint_weighted,0.04901439018511278,6.120508289075843e-08,0.04560680647220796
6,L,joint_MAP,0.04901439018511278,6.120508289075843e-08,0.46902776673935304
6,S,joint_uniform,0.33065548196947003,0.003398077846136549,0.1539514738581464
6,S,kappa_selective,0.33065548196947003,0.003398077846136549,0.09834079636615281
6,S,factorized_joint_weighted,0.33065548196947003,0.003398077846136549,0.12184285161060578
6,S,joint_MAP,0.33065548196947003,0.003398077846136549,0.3449766706074562
6,J,joint_uniform,0.4695468697445889,0.16475464816199392,0.1539514738581464
6,J,kappa_selective,0.4695468697445889,0.16475464816199392,0.0846129441927976
6,J,factorized_joint_weighted,0.4695468697445889,0.16475464816199392,0.06324564175356463
6,J,joint_MAP,0.4695468697445889,0.16475464816199392,0.09722179376936649
7,L,joint_uniform,0.029903155966610195,1.3529860565242302e-09,0.2823695001063899
7,L,kappa_selective,0.029903155966610195,1.3529860565242302e-09,0.19636921916364733
7,L,factorized_joint_weighted,0.029903155966610195,1.3529860565242302e-09,0.1963544090511187
7,L,joint_MAP,0.029903155966610195,1.3529860565242302e-09,0.21707661532595932
7,S,joint_uniform,0.330548974785281,0.00019988637721657376,0.2823695001063899
7,S,kappa_selective,0.330548974785281,0.00019988637721657376,0.24900467404432133
7,S,factorized_joint_weighted,0.330548974785281,0.00019988637721657376,0.24341076322527866
7,S,joint_MAP,0.330548974785281,0.00019988637721657376,0.031180591128044582
7,J,joint_uniform,0.5488416430591916,0.35601264851790504,0.2823695001063899
7,J,kappa_selective,0.5488416430591916,0.35601264851790504,0.16733115809069338
7,J,factorized_joint_weighted,0.5488416430591916,0.35601264851790504,0.04794095497433585
7,J,joint_MAP,0.5488416430591916,0.35601264851790504,0.08364234230509192
