experiment,family,condition,n,mean_normalized_utility,ci95_low,ci95_high,mean_delta_rmse,delta_rmse_ci95_low,delta_rmse_ci95_high,beneficial_rate,neutral_rate,harmful_rate,catastrophic_harm_rate,fields,b_norm,knowledge_subset,observability,method,architecture,distance
E5_prior_calibration_specificity,asymptotic_bound,broad_correct,900,0.740793009794014,0.6431438050721247,0.8152259871838695,0.2395611877331049,0.22577588741469243,0.2531831249741736,0.9633333333333334,0.0,0.03666666666666667,0.01888888888888889,,,,,,,
E5_prior_calibration_specificity,asymptotic_bound,family_only,900,0.337811558281783,0.05400616542568186,0.5594312327237315,0.2348677079968032,0.22091139112787336,0.24952783868587708,0.9122222222222223,0.0,0.08777777777777777,0.05,,,,,,,
E5_prior_calibration_specificity,asymptotic_bound,medium_correct,900,0.7732671870491241,0.6895497893832048,0.8420561825360825,0.24147059073061572,0.2279539491554778,0.2547764044144663,0.9688888888888889,0.0,0.03111111111111111,0.01888888888888889,,,,,,,
E5_prior_calibration_specificity,asymptotic_bound,narrow_correct,900,0.815316347764655,0.7498550260625803,0.8698508652024317,0.24431462483983146,0.2310298271286168,0.25820539047082935,0.97,0.0,0.03,0.016666666666666666,,,,,,,
E5_prior_calibration_specificity,asymptotic_bound,narrow_mild_bias,900,0.7770846089328108,0.7012111446270928,0.8430295602907565,0.23662172534810988,0.223142338628704,0.25007940711356114,0.97,0.0011111111111111111,0.028888888888888888,0.015555555555555555,,,,,,,
E5_prior_calibration_specificity,asymptotic_bound,narrow_strong_bias,900,0.2798433015055008,0.15108381479878963,0.3875296260303451,0.1832654845184863,0.1710877092558709,0.19572006711261297,0.8566666666666667,0.01,0.13333333333333333,0.06222222222222222,,,,,,,
E5_prior_calibration_specificity,emergent_curvature,broad_correct,900,0.5974250953921447,0.5773367730835183,0.6169754089790996,0.1546916757275317,0.14843636396250723,0.16089440724622758,0.9466666666666667,0.03222222222222222,0.021111111111111112,0.0022222222222222222,,,,,,,
E5_prior_calibration_specificity,emergent_curvature,family_only,900,-0.2608191677484457,-0.3609756104631618,-0.16623519254229177,-0.04076736731958486,-0.05947005341362808,-0.022582337684089602,0.5744444444444444,0.22555555555555556,0.2,0.13333333333333333,,,,,,,
E5_prior_calibration_specificity,emergent_curvature,medium_correct,900,0.7438359210081464,0.729799167049287,0.7578490073062832,0.1884771810638294,0.18228409057478118,0.19465309548432555,0.9844444444444445,0.011111111111111112,0.0044444444444444444,0.0,,,,,,,
E5_prior_calibration_specificity,emergent_curvature,narrow_correct,900,0.8909396773494013,0.8856721332869844,0.8960199822783194,0.21910183129405134,0.21351109790436226,0.22476416861031603,0.9988888888888889,0.0011111111111111111,0.0,0.0,,,,,,,
E5_prior_calibration_specificity,emergent_curvature,narrow_mild_bias,900,0.8847426697765651,0.880699205637546,0.8887863906402802,0.21514351641050547,0.20979538607534862,0.220168694457189,1.0,0.0,0.0,0.0,,,,,,,
