omission_class,rows,latent_tasks,mean_delta_S_miss,median_delta_S_miss,info_complete_rate,cluster_bootstrap_95ci_low,cluster_bootstrap_95ci_high
all_implied,2211,1717,0.049834221842667156,0.0030850909451629605,0.8014473089099955,0.7862629914143696,0.8159675236806495
mixed,13760,1717,0.24588073018353362,0.13418344933165893,0.4506540697674419,0.4344759593508266,0.46741007194244605
no_implied,13609,1982,0.1778695325687845,0.04034494935136412,0.5990153574840179,0.5865264396558064,0.6119589141599413
