omitted_atom,is_implied_atom,oracle_size,omitted_count,n,mean_delta_S_miss,info_complete_rate
lower_bound_0,0,3,2,530,0.45266713110958556,0.1641509433962264
direction_decreasing,0,3,2,530,0.6379133904367207,0.10377358490566038
curvature_convex,0,3,2,530,0.8030033651431036,0.06037735849056604
lower_bound_0,0,3,1,265,6.479048530530653e-05,1.0
direction_decreasing,0,3,1,265,0.28751288400054215,0.20754716981132076
curvature_convex,0,3,1,265,0.5495344434533046,0.12075471698113208
lower_bound_0,1,4,3,1488,0.33561729414663205,0.271505376344086
curvature_convex,0,4,3,1461,0.44110778093727776,0.4010951403148528
direction_decreasing,0,4,3,2256,0.40206048117959187,0.2632978723404255
asymptote_to_0_from_above,0,4,3,3642,0.4922405420490955,0.24794069192751236
lower_bound_0,1,4,2,1488,0.05467595888679429,0.7567204301075269
direction_decreasing,0,4,2,2256,0.14633083486178627,0.49113475177304966
curvature_convex,0,4,2,1461,0.08876915262985079,0.704312114989733
asymptote_to_0_from_above,0,4,2,3642,0.14362887972378652,0.5502471169686985
lower_bound_0,1,4,1,496,0.0,1.0
direction_decreasing,0,4,1,752,0.05368219190467288,0.7393617021276596
curvature_convex,0,4,1,487,0.03479515486898234,0.8234086242299795
asymptote_to_0_from_above,0,4,1,1214,0.02976849639882842,0.8640856672158155
lower_bound_0,0,4,3,2922,0.34007280597542233,0.2511978097193703
inflection_concave_to_convex,0,4,3,2283,0.5444232414169066,0.08541392904073587
asymptote_to_0_from_above,1,4,3,768,0.4967632939442905,0.25390625
lower_bound_0,0,4,2,2922,0.06881335966782279,0.6899383983572895
inflection_concave_to_convex,0,4,2,2283,0.2172222126304043,0.3293911519929917
asymptote_to_0_from_above,1,4,2,768,0.16779347548031667,0.5026041666666666
lower_bound_0,0,4,1,974,0.0,1.0
inflection_concave_to_convex,0,4,1,761,0.06069398586266433,0.7293035479632063
asymptote_to_0_from_above,1,4,1,256,0.05159431191349643,0.75390625
direction_decreasing,1,4,3,1488,0.3510656743872671,0.323252688172043
direction_decreasing,1,4,2,1488,0.1326922816361375,0.5396505376344086
direction_decreasing,1,4,1,496,0.052027917392629096,0.7540322580645161
turning_maximum,0,4,3,666,0.5266902858491479,0.22972972972972974
inflection_concave_to_convex,1,4,3,666,0.4195825003306769,0.2702702702702703
turning_maximum,0,4,2,666,0.22177748385732415,0.4189189189189189
inflection_concave_to_convex,1,4,2,666,0.2132919431551111,0.42492492492492495
turning_maximum,0,4,1,222,0.08308109961551789,0.5495495495495496
inflection_concave_to_convex,1,4,1,222,0.11296876192328176,0.5315315315315315
regime_postchange,0,5,4,988,0.45896516739502946,0.23279352226720648
lower_bound_0,0,5,4,988,0.483772932747144,0.14777327935222673
curvature_convex,1,5,4,988,0.5427843336642125,0.2236842105263158
direction_decreasing,1,5,4,988,0.47184292548677653,0.18421052631578946
asymptote_to_0_from_above,0,5,4,988,0.5662263182394609,0.14271255060728744
regime_postchange,0,5,3,1482,0.137189948840128,0.5587044534412956
lower_bound_0,0,5,3,1482,0.15453189612631302,0.460863697705803
direction_decreasing,1,5,3,1482,0.2050078701477714,0.3873144399460189
curvature_convex,1,5,3,1482,0.22099496409088226,0.45546558704453444
asymptote_to_0_from_above,0,5,3,1482,0.2326278448804928,0.3643724696356275
regime_postchange,0,5,2,988,0.03092237029182825,0.8775303643724697
lower_bound_0,0,5,2,988,0.026661271263435572,0.9311740890688259
direction_decreasing,1,5,2,988,0.08504283703150788,0.6396761133603239
curvature_convex,1,5,2,988,0.06943225914159179,0.7165991902834008
asymptote_to_0_from_above,0,5,2,988,0.06113016655051541,0.7135627530364372
regime_postchange,0,5,1,247,0.00812745657467478,1.0
lower_bound_0,0,5,1,247,0.0,1.0
direction_decreasing,1,5,1,247,0.025428468457803645,0.9959514170040485
curvature_convex,1,5,1,247,0.022049643009780177,1.0
asymptote_to_0_from_above,0,5,1,247,0.0001480468384254325,1.0
