primitive,separability,dof,prefix,mean_S,mean_ESS,E_struct,d_eff,V_f_norm
asymptote,high,1,0.2,1.3862943611198906,3938.077347886158,0.6977452320465197,1.0,0.011101847027110603
asymptote,high,1,0.3,1.3862943611198906,3276.541651704419,0.7513928767632514,1.0,0.01091472048095076
asymptote,high,1,0.4,1.3862943611198906,2228.660787014942,0.7761983442555835,1.0,0.010592746892251481
asymptote,high,1,0.5,1.3862943611198906,1387.6337052206309,0.7932167575741623,1.0,0.009613735123438168
asymptote,high,1,0.6,1.3862943611198906,811.3973413355205,0.7893047760839075,1.0,0.007586400068286596
asymptote,high,1,0.7,1.3862943611198906,442.5090719214074,0.781565730275139,1.0,0.005720698679187775
asymptote,high,3,0.2,1.3741661509154415,2979.384194660573,0.6977452320465197,2.9472864416262,0.03151097277575901
asymptote,high,3,0.3,1.3743266056079768,2176.0604405141526,0.7513928767632514,2.9299964807773953,0.031551025667609076
asymptote,high,3,0.4,1.3749892702031856,1601.4395419844504,0.7761983442555835,2.853444893711695,0.030919452075936455
asymptote,high,3,0.5,1.3755621727746847,1168.2561519046742,0.7932167575741623,2.742641346916806,0.03018765551305617
asymptote,high,3,0.6,1.3752198930640656,763.1045718676293,0.7893047760839075,2.6087630404179554,0.028387711183602973
asymptote,high,3,0.7,1.3711946083116402,409.61265316187115,0.781565730275139,2.4590197119734207,0.02337499546225094
asymptote,high,5,0.2,1.254137044761491,2287.386697981216,0.6977452320465197,4.66716918108843,0.05222778776176262
asymptote,high,5,0.3,1.1327800875188232,1483.8478379291312,0.7513928767632514,4.550093437753103,0.04898041181345164
asymptote,high,5,0.4,0.9304071317101839,962.0715961451301,0.7761983442555835,4.14689061598198,0.04530152785677253
asymptote,high,5,0.5,0.8623755104866498,599.1667352561147,0.7932167575741623,3.627311096852466,0.041944533499554536
asymptote,high,5,0.6,1.0232416731216747,349.61836278899705,0.7893047760839075,3.3104108816692315,0.036746158533306955
asymptote,high,5,0.7,1.2071631148153632,196.33097663567602,0.781565730275139,3.0368994360200023,0.035199829158816864
asymptote,low,1,0.2,1.3862943611198906,3982.4133919484716,0.44331888207337583,1.0,0.012778043662323886
asymptote,low,1,0.3,1.3862943611198906,3556.005609857677,0.42278056118564034,1.0,0.012596628188850286
asymptote,low,1,0.4,1.3862943611198906,2783.351828056397,0.41661836691903403,1.0,0.012413156214173516
asymptote,low,1,0.5,1.3862943611198906,1988.4438740047824,0.42464183481379303,1.0,0.012036018849895316
asymptote,low,1,0.6,1.3862943611198906,1389.780331524108,0.44207792533930723,1.0,0.010757024663536655
asymptote,low,1,0.7,1.3862943611198906,982.1658621053251,0.4663198979974406,1.0,0.00909290611322458
asymptote,low,3,0.2,1.3349803828919133,3181.2554357733457,0.44331888207337583,2.9407595687340944,0.03641231113043245
asymptote,low,3,0.3,1.3354107952996002,2575.0972980380743,0.42278056118564034,2.936751853024577,0.03700918107799089
asymptote,low,3,0.4,1.3366874819659582,2064.2258532808996,0.41661836691903403,2.916920159152582,0.03733677537217869
