primitive,separability,dof,prefix,lo,hi
curvature,high,5,0.2,0.0,0.0
curvature,high,5,0.3,0.0,0.0
curvature,high,5,0.4,0.0,0.0
curvature,high,5,0.5,0.0,0.26666666666666666
curvature,high,5,0.6,0.016666666666666666,0.3333333333333333
curvature,high,5,0.7,0.016666666666666666,0.3333333333333333
curvature,low,1,0.2,0.0,0.0
curvature,low,1,0.3,0.0,0.0
curvature,low,1,0.4,0.0,0.0
curvature,low,1,0.5,0.0,0.0
curvature,low,1,0.6,0.0,0.0
curvature,low,1,0.7,0.0,0.0
curvature,low,3,0.2,0.0,0.0
curvature,low,3,0.3,0.0,0.0
curvature,low,3,0.4,0.0,0.0
curvature,low,3,0.5,0.0,0.0
curvature,low,3,0.6,0.0,0.0
curvature,low,3,0.7,0.0,0.0
curvature,low,5,0.2,0.0,0.0
curvature,low,5,0.3,0.0,0.0
curvature,low,5,0.4,0.0,0.0
curvature,low,5,0.5,0.0,0.0
curvature,low,5,0.6,0.0,0.0
curvature,low,5,0.7,0.0,0.0
curvature,mid,1,0.2,0.0,0.0
curvature,mid,1,0.3,0.0,0.0
curvature,mid,1,0.4,0.0,0.0
curvature,mid,1,0.5,0.0,0.0
curvature,mid,1,0.6,0.0,0.18333333333333335
curvature,mid,1,0.7,0.0,0.18333333333333335
curvature,mid,3,0.2,0.0,0.0
curvature,mid,3,0.3,0.0,0.0
curvature,mid,3,0.4,0.0,0.0
curvature,mid,3,0.5,0.0,0.0
curvature,mid,3,0.6,0.0,0.18333333333333335
curvature,mid,3,0.7,0.0,0.18333333333333335
curvature,mid,5,0.2,0.0,0.0
curvature,mid,5,0.3,0.0,0.0
curvature,mid,5,0.4,0.0,0.0
curvature,mid,5,0.5,0.0,0.0
curvature,mid,5,0.6,0.0,0.13333333333333333
curvature,mid,5,0.7,0.0,0.13333333333333333
direction,high,1,0.2,0.0,0.0
direction,high,1,0.3,0.0,0.0
direction,high,1,0.4,0.016666666666666666,0.2833333333333334
direction,high,1,0.5,0.016666666666666666,0.2833333333333334
direction,high,1,0.6,0.016666666666666666,0.3170833333333273
direction,high,1,0.7,0.016666666666666666,0.31666666666666665
direction,high,3,0.2,0.0,0.0
direction,high,3,0.3,0.0,0.0
direction,high,3,0.4,0.016666666666666666,0.2833333333333334
direction,high,3,0.5,0.016666666666666666,0.2833333333333334
direction,high,3,0.6,0.016666666666666666,0.31666666666666665
direction,high,3,0.7,0.016666666666666666,0.31666666666666665
direction,high,5,0.2,0.0,0.0
direction,high,5,0.3,0.0,0.0
direction,high,5,0.4,0.0,0.25
direction,high,5,0.5,0.0,0.25
direction,high,5,0.6,0.0,0.2833333333333333
direction,high,5,0.7,0.0,0.2833333333333333
direction,low,1,0.2,0.0,0.0
direction,low,1,0.3,0.0,0.0
direction,low,1,0.4,0.0,0.0
direction,low,1,0.5,0.0,0.0
direction,low,1,0.6,0.0,0.0
direction,low,1,0.7,0.0,0.0
direction,low,3,0.2,0.0,0.0
direction,low,3,0.3,0.0,0.0
direction,low,3,0.4,0.0,0.0
direction,low,3,0.5,0.0,0.0
direction,low,3,0.6,0.0,0.0
direction,low,3,0.7,0.0,0.0
direction,low,5,0.2,0.0,0.0
direction,low,5,0.3,0.0,0.0
direction,low,5,0.4,0.0,0.0
direction,low,5,0.5,0.0,0.0
direction,low,5,0.6,0.0,0.0
direction,low,5,0.7,0.0,0.0
direction,mid,1,0.2,0.0,0.0
direction,mid,1,0.3,0.0,0.0
direction,mid,1,0.4,0.0,0.049999999999999996
