primitive,separability,dof,prefix,attainment,denominator
curvature,low,5,0.7,0.0,60
curvature,mid,1,0.2,0.0,60
curvature,mid,1,0.3,0.0,60
curvature,mid,1,0.4,0.0,60
curvature,mid,1,0.5,0.0,60
curvature,mid,1,0.6,0.11666666666666667,60
curvature,mid,1,0.7,0.13333333333333333,60
curvature,mid,3,0.2,0.0,60
curvature,mid,3,0.3,0.0,60
curvature,mid,3,0.4,0.0,60
curvature,mid,3,0.5,0.0,60
curvature,mid,3,0.6,0.11666666666666667,60
curvature,mid,3,0.7,0.13333333333333333,60
curvature,mid,5,0.2,0.0,60
curvature,mid,5,0.3,0.0,60
curvature,mid,5,0.4,0.0,60
curvature,mid,5,0.5,0.0,60
curvature,mid,5,0.6,0.11666666666666667,60
curvature,mid,5,0.7,0.13333333333333333,60
direction,high,1,0.2,0.0,60
direction,high,1,0.3,0.0,60
direction,high,1,0.4,0.13333333333333333,60
direction,high,1,0.5,0.13333333333333333,60
direction,high,1,0.6,0.15,60
direction,high,1,0.7,0.15,60
direction,high,3,0.2,0.0,60
direction,high,3,0.3,0.0,60
direction,high,3,0.4,0.13333333333333333,60
direction,high,3,0.5,0.13333333333333333,60
direction,high,3,0.6,0.15,60
direction,high,3,0.7,0.15,60
direction,high,5,0.2,0.0,60
direction,high,5,0.3,0.0,60
direction,high,5,0.4,0.13333333333333333,60
direction,high,5,0.5,0.13333333333333333,60
direction,high,5,0.6,0.15,60
direction,high,5,0.7,0.15,60
direction,low,1,0.2,0.0,60
direction,low,1,0.3,0.0,60
direction,low,1,0.4,0.0,60
direction,low,1,0.5,0.0,60
direction,low,1,0.6,0.0,60
direction,low,1,0.7,0.0,60
direction,low,3,0.2,0.0,60
direction,low,3,0.3,0.0,60
direction,low,3,0.4,0.0,60
direction,low,3,0.5,0.0,60
direction,low,3,0.6,0.0,60
direction,low,3,0.7,0.0,60
direction,low,5,0.2,0.0,60
direction,low,5,0.3,0.0,60
direction,low,5,0.4,0.0,60
direction,low,5,0.5,0.0,60
direction,low,5,0.6,0.0,60
direction,low,5,0.7,0.0,60
direction,mid,1,0.2,0.0,60
direction,mid,1,0.3,0.0,60
direction,mid,1,0.4,0.016666666666666666,60
direction,mid,1,0.5,0.05,60
direction,mid,1,0.6,0.08333333333333333,60
direction,mid,1,0.7,0.08333333333333333,60
direction,mid,3,0.2,0.0,60
direction,mid,3,0.3,0.0,60
direction,mid,3,0.4,0.016666666666666666,60
direction,mid,3,0.5,0.05,60
direction,mid,3,0.6,0.08333333333333333,60
direction,mid,3,0.7,0.08333333333333333,60
direction,mid,5,0.2,0.0,60
direction,mid,5,0.3,0.0,60
direction,mid,5,0.4,0.016666666666666666,60
direction,mid,5,0.5,0.05,60
direction,mid,5,0.6,0.08333333333333333,60
direction,mid,5,0.7,0.08333333333333333,60
inflection,high,1,0.2,0.0,60
inflection,high,1,0.3,0.0,60
inflection,high,1,0.4,0.0,60
inflection,high,1,0.5,0.0,60
inflection,high,1,0.6,0.0,60
inflection,high,1,0.7,0.0,60
inflection,high,3,0.2,0.0,60
inflection,high,3,0.3,0.0,60
inflection,high,3,0.4,0.0,60
inflection,high,3,0.5,0.0,60
inflection,high,3,0.6,0.0,60
inflection,high,3,0.7,0.0,60
inflection,high,5,0.2,0.0,60
inflection,high,5,0.3,0.0,60
inflection,high,5,0.4,0.0,60
inflection,high,5,0.5,0.0,60
inflection,high,5,0.6,0.0,60
inflection,high,5,0.7,0.0,60
inflection,low,1,0.2,0.0,60
inflection,low,1,0.3,0.0,60
inflection,low,1,0.4,0.0,60
inflection,low,1,0.5,0.0,60
inflection,low,1,0.6,0.0,60
inflection,low,1,0.7,0.0,60
inflection,low,3,0.2,0.0,60
inflection,low,3,0.3,0.0,60
inflection,low,3,0.4,0.0,60
inflection,low,3,0.5,0.0,60
inflection,low,3,0.6,0.0,60
inflection,low,3,0.7,0.0,60
inflection,low,5,0.2,0.0,60
inflection,low,5,0.3,0.0,60
inflection,low,5,0.4,0.0,60
inflection,low,5,0.5,0.0,60
inflection,low,5,0.6,0.0,60
inflection,low,5,0.7,0.0,60
inflection,mid,1,0.2,0.0,60
inflection,mid,1,0.3,0.0,60
inflection,mid,1,0.4,0.0,60
inflection,mid,1,0.5,0.0,60
inflection,mid,1,0.6,0.0,60
inflection,mid,1,0.7,0.0,60
inflection,mid,3,0.2,0.0,60
inflection,mid,3,0.3,0.0,60
inflection,mid,3,0.4,0.0,60
inflection,mid,3,0.5,0.0,60
inflection,mid,3,0.6,0.0,60
inflection,mid,3,0.7,0.0,60
inflection,mid,5,0.2,0.0,60
inflection,mid,5,0.3,0.0,60
inflection,mid,5,0.4,0.0,60
inflection,mid,5,0.5,0.0,60
inflection,mid,5,0.6,0.0,60
inflection,mid,5,0.7,0.0,60
regime,high,1,0.2,0.0,60
regime,high,1,0.3,0.0,60
regime,high,1,0.4,0.0,60
regime,high,1,0.5,0.0,60
regime,high,1,0.6,0.0,60
regime,high,1,0.7,0.06666666666666667,60
regime,high,3,0.2,0.0,60
regime,high,3,0.3,0.0,60
regime,high,3,0.4,0.0,60
regime,high,3,0.5,0.0,60
regime,high,3,0.6,0.0,60
regime,high,3,0.7,0.06666666666666667,60
regime,high,5,0.2,0.0,60
regime,high,5,0.3,0.0,60
regime,high,5,0.4,0.0,60
regime,high,5,0.5,0.0,60
regime,high,5,0.6,0.0,60
regime,high,5,0.7,0.06666666666666667,60
regime,low,1,0.2,0.0,60
regime,low,1,0.3,0.0,60
regime,low,1,0.4,0.0,60
regime,low,1,0.5,0.0,60
regime,low,1,0.6,0.0,60
regime,low,1,0.7,0.0,60
regime,low,3,0.2,0.0,60
regime,low,3,0.3,0.0,60
regime,low,3,0.4,0.0,60
regime,low,3,0.5,0.0,60
regime,low,3,0.6,0.0,60
regime,low,3,0.7,0.0,60
regime,low,5,0.2,0.0,60
regime,low,5,0.3,0.0,60
regime,low,5,0.4,0.0,60
regime,low,5,0.5,0.0,60
regime,low,5,0.6,0.0,60
regime,low,5,0.7,0.0,60
regime,mid,1,0.2,0.0,60
regime,mid,1,0.3,0.0,60
regime,mid,1,0.4,0.0,60
regime,mid,1,0.5,0.0,60
regime,mid,1,0.6,0.0,60
regime,mid,1,0.7,0.0,60
regime,mid,3,0.2,0.0,60
regime,mid,3,0.3,0.0,60
regime,mid,3,0.4,0.0,60
regime,mid,3,0.5,0.0,60
regime,mid,3,0.6,0.0,60
regime,mid,3,0.7,0.0,60
regime,mid,5,0.2,0.0,60
regime,mid,5,0.3,0.0,60
regime,mid,5,0.4,0.0,60
regime,mid,5,0.5,0.0,60
regime,mid,5,0.6,0.0,60
regime,mid,5,0.7,0.0,60
turning,high,1,0.2,0.0,60
turning,high,1,0.3,0.016666666666666666,60
turning,high,1,0.4,0.05,60
turning,high,1,0.5,0.05,60
turning,high,1,0.6,0.05,60
turning,high,1,0.7,0.06666666666666667,60
turning,high,3,0.2,0.0,60
turning,high,3,0.3,0.016666666666666666,60
turning,high,3,0.4,0.05,60
turning,high,3,0.5,0.05,60
turning,high,3,0.6,0.05,60
turning,high,3,0.7,0.06666666666666667,60
turning,high,5,0.2,0.0,60
turning,high,5,0.3,0.016666666666666666,60
turning,high,5,0.4,0.05,60
turning,high,5,0.5,0.05,60
turning,high,5,0.6,0.05,60
turning,high,5,0.7,0.06666666666666667,60
turning,low,1,0.2,0.0,60
turning,low,1,0.3,0.0,60
turning,low,1,0.4,0.0,60
turning,low,1,0.5,0.0,60
turning,low,1,0.6,0.0,60
turning,low,1,0.7,0.0,60
turning,low,3,0.2,0.0,60
turning,low,3,0.3,0.0,60
turning,low,3,0.4,0.0,60
turning,low,3,0.5,0.0,60
turning,low,3,0.6,0.0,60
turning,low,3,0.7,0.0,60
turning,low,5,0.2,0.0,60
turning,low,5,0.3,0.0,60
turning,low,5,0.4,0.0,60
turning,low,5,0.5,0.0,60
turning,low,5,0.6,0.0,60
turning,low,5,0.7,0.0,60
turning,mid,1,0.2,0.0,60
turning,mid,1,0.3,0.0,60
turning,mid,1,0.4,0.0,60
turning,mid,1,0.5,0.0,60
turning,mid,1,0.6,0.0,60
turning,mid,1,0.7,0.0,60
turning,mid,3,0.2,0.0,60
turning,mid,3,0.3,0.0,60
turning,mid,3,0.4,0.0,60
turning,mid,3,0.5,0.0,60
turning,mid,3,0.6,0.0,60
turning,mid,3,0.7,0.0,60
turning,mid,5,0.2,0.0,60
turning,mid,5,0.3,0.0,60
turning,mid,5,0.4,0.0,60
turning,mid,5,0.5,0.0,60
turning,mid,5,0.6,0.0,60
turning,mid,5,0.7,0.0,60
