metric,knowledge_state,prefix_exposure,window,n_tasks,mean_contrast,ci_2_5,ci_97_5,analysis_role,bootstrap_replicates,bootstrap_unit,source_rows_sha256
D1,uncovered_biased,high,within_scope,2520,-0.0005527073013949488,-0.0006370602386276342,-0.0004719956810507454,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,high,post_scope,2520,-0.007884512745839345,-0.008913338071272646,-0.006894383672514873,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,low,within_scope,2520,-0.02338205590943623,-0.02524158722580423,-0.02149211995105027,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,low,post_scope,2520,-0.13092135366266017,-0.14155678626558185,-0.12089014441550253,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,medium,within_scope,2520,-0.002448826206524425,-0.002702155108469882,-0.0022063065738285627,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,medium,post_scope,2520,-0.021629108385232958,-0.023886722256702363,-0.0194962929499682,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,high,within_scope,2520,0.001298375145176724,0.0011862246014353697,0.0014115712720344253,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,high,post_scope,2520,0.01898596073714462,0.017620784390571558,0.020362044562280846,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,low,within_scope,2520,0.01410892778428863,0.012803100089768283,0.015520284526405324,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,low,post_scope,2520,0.07655379066848149,0.06945208250051653,0.08411157880891193,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,medium,within_scope,2520,0.003644231035428537,0.00332602289258247,0.003969791194254895,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,medium,post_scope,2520,0.03143267084189695,0.02885629474008392,0.034219619177869226,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,high,within_scope,2520,0.00015009058952011013,0.00011868105361062657,0.00018575154092553055,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,high,post_scope,2520,0.001870654602937601,0.0014637371015171713,0.002298074139426712,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,low,within_scope,2520,0.001980740785827463,0.0017905781919743608,0.0021744365310524243,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,low,post_scope,2520,0.010701607158951236,0.009644549496994068,0.011795042505582085,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,medium,within_scope,2520,0.0006390750389923283,0.0005387695939014868,0.0007448718015046665,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,medium,post_scope,2520,0.00535360190549381,0.004499869324260328,0.006261430892298171,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,high,within_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,high,post_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,low,within_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,low,post_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,medium,within_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,medium,post_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,high,within_scope,2520,0.002207748823240323,0.001980390070106934,0.0024309792097976777,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,high,post_scope,2520,0.05188570398935179,0.049371991008331735,0.05443328847632733,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
