knowledge_state,comparison,prefix_exposure,post_scope_mode,window,n_tasks,mean_contrast,ci_2_5,ci_97_5,bootstrap_replicates,bootstrap_unit,source_rows_sha256
exact,G_slack,high,1,within_scope,840,0.016712155555446463,0.015350147443059334,0.01800871703346963,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,high,1,post_scope,840,-0.3865522173980523,-0.40182103804670755,-0.3713206742605331,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,high,all,within_scope,2520,0.033950383739335885,0.032872029792040514,0.03503955769503549,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,high,all,post_scope,2520,-0.16770575417319014,-0.18145101855074464,-0.15364826921452862,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,-2,within_scope,840,0.05639152673946602,0.04992070205110664,0.06297594428980147,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,-2,post_scope,840,-0.10393988525968206,-0.13987274668633987,-0.06718637295159444,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,0,within_scope,840,0.016845126445062492,0.012567722286593403,0.021247671174777598,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,0,post_scope,840,-0.3973737798283564,-0.42710663276810995,-0.3677645050804237,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,1,within_scope,840,0.009255958496162732,0.005415946269277784,0.013123164698998284,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,1,post_scope,840,-0.4134227977080439,-0.4420514180108437,-0.3848579987272664,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,all,within_scope,2520,0.02749753722689708,0.02452105835664235,0.030462927642601598,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,low,all,post_scope,2520,-0.3049121542653608,-0.32430704631119867,-0.28642892207445336,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,-2,within_scope,840,0.08622712521658309,0.08364246147452077,0.08878015483932054,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,-2,post_scope,840,0.22821667421096203,0.2062754943402158,0.24977179009772243,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,0,within_scope,840,0.03394884311138341,0.03157853990312099,0.03627189081395473,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,0,post_scope,840,-0.3122047739088789,-0.33475480978050104,-0.2903237639970683,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,1,within_scope,840,0.020843021316227377,0.01869499988662132,0.022991494716325948,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,1,post_scope,840,-0.39162804381346833,-0.4131801881836995,-0.36993693642638786,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,all,within_scope,2520,0.047006329881397954,0.0452339996833635,0.048689356273766714,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_slack,medium,all,post_scope,2520,-0.15853871450379511,-0.1755046998869491,-0.14145245868982484,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,-2,within_scope,840,0.06350961478346748,0.06202380652895996,0.06496072695228806,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,-2,post_scope,840,0.26181133823052244,0.2466254839757872,0.2773814955736968,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,0,within_scope,840,0.028588123909925083,0.027216974991376087,0.030001161740582392,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,0,post_scope,840,-0.29340408440904375,-0.30848722167672754,-0.27859225685366795,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,1,within_scope,840,0.018700031421054798,0.01736622784006821,0.020037928088494788,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,1,post_scope,840,-0.38054842065897215,-0.3957426578718547,-0.3650180275344375,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,all,within_scope,2520,0.03693259003814912,0.03582945791214488,0.03805981900823394,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,high,all,post_scope,2520,-0.13738038894583118,-0.15180689884634982,-0.12324727950911123,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,-2,within_scope,840,0.06645469229926619,0.05980840611378761,0.07312970187073162,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,-2,post_scope,840,-0.049823676768680714,-0.08580044254721585,-0.014138528708556346,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,0,within_scope,840,0.021930973048775556,0.01750003738508671,0.026232188002420193,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,0,post_scope,840,-0.3715840652064122,-0.40103567820663544,-0.3421613431493225,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,1,within_scope,840,0.013240063079915897,0.009498428435123224,0.0170727090710243,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,1,post_scope,840,-0.3971017623408451,-0.42515172321514877,-0.3705609374519056,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,all,within_scope,2520,0.033875242809319216,0.030739182014140595,0.036933406466409024,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,low,all,post_scope,2520,-0.272836501438646,-0.29213258392906843,-0.25425375943465506,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,-2,within_scope,840,0.09348860860633124,0.09088793452734892,0.09608856992395913,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,-2,post_scope,840,0.2895290213932874,0.2670663355745552,0.31132638261375045,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,0,within_scope,840,0.03790605676603269,0.03556740710361586,0.04025850372982506,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,0,post_scope,840,-0.281690377285149,-0.30296850355585514,-0.2596821924510176,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,1,within_scope,840,0.023855255934452986,0.021642629048062155,0.02606703184729728,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,1,post_scope,840,-0.3777061673986823,-0.3990117579887747,-0.35635456011960476,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,all,within_scope,2520,0.05174997376893897,0.049909039673293375,0.05357269178019409,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,G_soft,medium,all,post_scope,2520,-0.12328917443018131,-0.14073482746585128,-0.10604526854410072,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
