latent_task_id,study,primitive,generator,replicate,engine,action,knowledge_tier,sample_count,heterogeneity_cv,exposure,effect_strength,support_fraction,noise_ratio,absolute_horizon,ood_distance,coverage,sharpness,ess,baseline_rmse,prior_rmse,utility,normalized_utility,beneficial,harmful,catastrophic_harm,solver_failure
e8s_00011,A2_fixed_absolute_horizon,direction,spline,11,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05575869511556468,203.55522065047197,0.00231889886652679,0.002445949729296082,-0.0001270508627692923,-0.05478930737483479,0,1,0,0
e8s_00011,A2_fixed_absolute_horizon,direction,spline,11,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05575869511556468,203.55522065047197,0.16882807783836462,0.14238047804706577,0.026447599791298848,0.15665403604618233,1,0,0,0
e8s_00012,A2_fixed_absolute_horizon,direction,spline,12,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0646963679090755,203.55522065047197,0.0010473149727853145,0.0012267421202110846,-0.00017942714742577017,-0.1713210945018642,0,1,0,0
e8s_00012,A2_fixed_absolute_horizon,direction,spline,12,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0646963679090755,203.55522065047197,0.1350798452993147,0.11397033025344439,0.021109515045870303,0.1562743501748547,1,0,0,0
e8s_00013,A2_fixed_absolute_horizon,direction,spline,13,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.061153737824622,203.55522065047197,0.0006174159407796046,0.00046438444643490774,0.00015303149434469683,0.2478580228289305,1,0,0,0
e8s_00013,A2_fixed_absolute_horizon,direction,spline,13,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.061153737824622,203.55522065047197,0.1844087148863904,0.1556012792113724,0.028807435675018006,0.15621515334980532,1,0,0,0
e8s_00014,A2_fixed_absolute_horizon,direction,spline,14,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05896301267051214,203.55522065047197,0.005123943501640151,0.005442659729211793,-0.0003187162275716422,-0.06220135477091475,0,1,0,0
e8s_00014,A2_fixed_absolute_horizon,direction,spline,14,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05896301267051214,203.55522065047197,0.18019573332470226,0.15217943829677608,0.028016295027926186,0.15547701663636201,1,0,0,0
e8s_00015,A2_fixed_absolute_horizon,direction,spline,15,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05835960222077599,203.55522065047197,0.002156597672925747,0.0021401613087818467,1.6436364143900244e-05,0.007621432755049699,0,0,0,0
e8s_00015,A2_fixed_absolute_horizon,direction,spline,15,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05835960222077599,203.55522065047197,0.12245245380253836,0.10308985505576175,0.019362598746776608,0.1581234033741775,1,0,0,0
e8s_00016,A2_fixed_absolute_horizon,direction,spline,16,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.058702426345395506,203.55522065047197,0.002309820126751546,0.002457564740670968,-0.0001477446139194218,-0.06396368799816672,0,1,0,0
e8s_00016,A2_fixed_absolute_horizon,direction,spline,16,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.058702426345395506,203.55522065047197,0.13284864540718472,0.11206074020639387,0.02078790520079085,0.15647811189248753,1,0,0,0
e8s_00017,A2_fixed_absolute_horizon,direction,spline,17,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.060677092042152145,203.55522065047197,0.0019285354891881142,0.0019945368656163276,-6.600137642821346e-05,-0.034223573690105695,0,1,0,0
e8s_00017,A2_fixed_absolute_horizon,direction,spline,17,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.060677092042152145,203.55522065047197,0.18109350459503804,0.15274486703255213,0.0283486375624859,0.15654143767265,1,0,0,0
