n_supplied_atoms,candidates,mean_delta_S,median_delta_S,resolved_rate,informationally_complete_rate,informationally_incomplete_rate,measurement_unresolved_rate,median_ESS
1,2160,0.3999955617165916,0.301392303686034,0.8986111111111111,0.25277777777777777,0.6458333333333334,0.10138888888888889,318.99006612299644
2,2160,0.12321299334966411,0.052913520755345445,0.8986111111111111,0.4925925925925926,0.4060185185185185,0.10138888888888889,318.99006612299644
3,720,0.04833781726138591,6.475855329757253e-08,0.8986111111111111,0.6763888888888889,0.2222222222222222,0.10138888888888889,318.99006612299644
