engine,support_fraction,noise_ratio,n,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,study,target,ood_distance,action
neural,0.35,0.001,420,0.3142857142857143,0.26904761904761904,0.3595238095238095,0.012450288637076895,0.007037632333337038,0.017798469840263734,0.6547619047619048,0.14523809523809525,A2,engine_conditioned,,
neural,0.35,0.01,420,0.3119047619047619,0.26666666666666666,0.35714285714285715,0.011140970300145773,0.004702081809494259,0.017187435633830354,0.6714285714285714,0.14523809523809525,A2,engine_conditioned,,
neural,0.35,0.05,420,0.319047619047619,0.27380952380952384,0.36428571428571427,0.010308265910695337,0.004647684293633928,0.015700601075659733,0.6619047619047619,0.1595238095238095,A2,engine_conditioned,,
neural,0.525,0.001,420,0.44285714285714284,0.3952380952380952,0.49047619047619045,-0.03015515069088773,-0.043351780933320185,-0.01790066503602126,0.55,0.26666666666666666,A2,engine_conditioned,,
neural,0.525,0.01,420,0.44761904761904764,0.4,0.4928571428571429,-0.026032600518188818,-0.03763210128135975,-0.014860115973426524,0.5333333333333333,0.28809523809523807,A2,engine_conditioned,,
neural,0.525,0.05,420,0.4357142857142857,0.3904761904761905,0.48333333333333334,-0.03419073373369583,-0.04799640553807658,-0.021680139008310298,0.5452380952380952,0.27380952380952384,A2,engine_conditioned,,
neural,0.7,0.001,420,0.48333333333333334,0.43333333333333335,0.530952380952381,-0.10890563316545061,-0.134077947304598,-0.08434725201840303,0.5023809523809524,0.34523809523809523,A2,engine_conditioned,,
neural,0.7,0.01,420,0.4928571428571429,0.4452380952380952,0.5404761904761904,-0.1131548841907045,-0.1394829102586724,-0.08834792905933882,0.49047619047619045,0.319047619047619,A2,engine_conditioned,,
neural,0.7,0.05,420,0.4642857142857143,0.4166666666666667,0.5119047619047619,-0.11288556804725083,-0.13867636086962978,-0.08786623470543406,0.5166666666666667,0.3261904761904762,A2,engine_conditioned,,
spline,0.35,0.001,420,0.6857142857142857,0.6404761904761904,0.7309523809523809,-0.009827567050406594,-0.01441225644061527,-0.005493490741423892,0.2833333333333333,0.42142857142857143,A2,engine_conditioned,,
spline,0.35,0.01,420,0.6095238095238096,0.5642857142857143,0.6547619047619048,-0.010220315754734824,-0.01582421654692134,-0.005174326909056439,0.35,0.2714285714285714,A2,engine_conditioned,,
spline,0.35,0.05,420,0.430952380952381,0.38333333333333336,0.4785714285714286,0.012782935688495827,0.004911983996638183,0.02105805951432391,0.5142857142857142,0.13333333333333333,A2,engine_conditioned,,
spline,0.525,0.001,420,0.6976190476190476,0.6547619047619048,0.7404761904761905,-0.05479261765026544,-0.06724067332652767,-0.04317455236902743,0.26904761904761904,0.44047619047619047,A2,engine_conditioned,,
spline,0.525,0.01,420,0.6523809523809524,0.6047619047619047,0.6976190476190476,-0.045438929787594624,-0.05667894907605488,-0.034823315023777376,0.3238095238095238,0.39285714285714285,A2,engine_conditioned,,
spline,0.525,0.05,420,0.580952380952381,0.5357142857142857,0.6285714285714286,-0.02207460416246964,-0.037450255087355964,-0.0071152235619848575,0.38095238095238093,0.2714285714285714,A2,engine_conditioned,,
spline,0.7,0.001,420,0.7,0.6571428571428571,0.7428571428571429,-0.15426232778586682,-0.18041566258268157,-0.12943164652458378,0.24285714285714285,0.45,A2,engine_conditioned,,
spline,0.7,0.01,420,0.6452380952380953,0.5976190476190476,0.6904761904761905,-0.1500396513620114,-0.17692272546895618,-0.12398902418018556,0.3047619047619048,0.430952380952381,A2,engine_conditioned,,
spline,0.7,0.05,420,0.6333333333333333,0.5880952380952381,0.680952380952381,-0.10403490848221214,-0.1335427877789489,-0.07502491988273892,0.32857142857142857,0.3761904761904762,A2,engine_conditioned,,
,0.35,0.001,420,0.7261904761904762,0.6833333333333333,0.7690476190476191,0.001311360793335149,-0.0032451775305476836,0.005640609111670694,0.21904761904761905,0.43333333333333335,A2,robust_any_engine_harm,,
,0.35,0.01,420,0.6857142857142857,0.6404761904761904,0.7309523809523809,0.00046032727270547464,-0.0054444004662117795,0.006063554841407447,0.2761904761904762,0.2976190476190476,A2,robust_any_engine_harm,,
,0.35,0.05,420,0.5785714285714286,0.530952380952381,0.6238095238095238,0.011545600799595582,0.00542549544135123,0.01780714951324266,0.36428571428571427,0.20476190476190476,A2,robust_any_engine_harm,,
,0.525,0.001,420,0.7380952380952381,0.6952380952380952,0.7785714285714286,-0.042473884170576584,-0.05521872896188938,-0.030664107596194302,0.2261904761904762,0.4452380952380952,A2,robust_any_engine_harm,,
,0.525,0.01,420,0.7071428571428572,0.6642261904761905,0.75,-0.03573576515289172,-0.04714527494018087,-0.025174160708712208,0.2523809523809524,0.4095238095238095,A2,robust_any_engine_harm,,
,0.525,0.05,420,0.7023809523809523,0.6571428571428571,0.7476190476190476,-0.028132668948082726,-0.04200718786486335,-0.014998408363649842,0.2642857142857143,0.3523809523809524,A2,robust_any_engine_harm,,
,0.7,0.001,420,0.7666666666666667,0.7261904761904762,0.8047619047619048,-0.1315839804756587,-0.15752990967834446,-0.10689172869650586,0.17857142857142858,0.45,A2,robust_any_engine_harm,,
,0.7,0.01,420,0.719047619047619,0.6761904761904762,0.7619047619047619,-0.13159726777635794,-0.15826504415107642,-0.10537225614227345,0.22380952380952382,0.430952380952381,A2,robust_any_engine_harm,,
,0.7,0.05,420,0.6928571428571428,0.65,0.7357142857142858,-0.10846023826473147,-0.13598953026369387,-0.08302298582078531,0.25476190476190474,0.4023809523809524,A2,robust_any_engine_harm,,
neural,,,420,0.4595238095238095,0.4119047619047619,0.5095238095238095,-0.058240892728665984,-0.06964600173085449,-0.047613543251000576,0.5166666666666667,0.4261904761904762,C2,engine_conditioned,0.1,bias-negative
neural,,,420,0.30714285714285716,0.2619047619047619,0.35,-0.0018903872347826734,-0.005029025056608864,0.0010991086800176478,0.6642857142857143,0.19047619047619047,C2,engine_conditioned,0.1,bias-positive
neural,,,420,0.4,0.3523809523809524,0.44761904761904764,-0.02324927176366764,-0.03175504161079374,-0.01546745608426634,0.5904761904761905,0.33095238095238094,C2,engine_conditioned,0.1,true-full
neural,,,420,0.4666666666666667,0.41904761904761906,0.5142857142857142,-0.07079710769010734,-0.08543876248344555,-0.056497156750866015,0.5214285714285715,0.4261904761904762,C2,engine_conditioned,0.4,bias-negative
neural,,,420,0.20952380952380953,0.17142857142857143,0.25,0.016892825938687444,0.010702779415413212,0.02281819137894243,0.7738095238095238,0.07380952380952381,C2,engine_conditioned,0.4,bias-positive
neural,,,420,0.45,0.4023809523809524,0.4976190476190476,-0.037269589567372835,-0.05174628513612057,-0.023232834714932264,0.5357142857142857,0.2833333333333333,C2,engine_conditioned,0.4,true-full
neural,,,420,0.5238095238095238,0.47619047619047616,0.5738095238095238,-0.07961215740369544,-0.09714683383464028,-0.06238386198018665,0.44047619047619047,0.35,C2,engine_conditioned,0.8,bias-negative
neural,,,420,0.23333333333333334,0.19523809523809524,0.27380952380952384,0.0005545939623290948,-0.016405146726246045,0.016438006134536734,0.719047619047619,0.08333333333333333,C2,engine_conditioned,0.8,bias-positive
